airport_ident,type,name,iso_country,iso_region,municipality
00OK,small_airport,Gull Bay Landing Airport,US,US-OK,Sandsprings
00PA,heliport,R J D Heliport,US,US-PA,Coatesville
00PN,small_airport,Ferrell Field,US,US-PA,Mercer
00PS,closed,Thomas Field,US,US-PA,Loysville
00S,small_airport,McKenzie Bridge State Airport,US,US-OR,Blue River
00SC,small_airport,Flying O Airport,US,US-SC,Sumter
00SD,small_airport,Homan Field,US,US-SD,Gary
00TA,closed,SW Region FAA Heliport,US,US-TX,Fort Worth
00TE,heliport,Tcjc-Northeast Campus Heliport,US,US-TX,Fort Worth
00TN,small_airport,Ragsdale Road Airport,US,US-TN,Manchester
00TS,small_airport,Alpine Range Airport,US,US-TX,Everman
00TX,closed,San Jacinto Methodist Hospital Heliport,US,US-TX,Baytown
00VA,small_airport,Vaughan Airport,US,US-VA,Alton
00VI,small_airport,Groundhog Mountain Airport,US,US-VA,Hillsville
00W,small_airport,Lower Granite State Airport,US,US-WA,Colfax
00WA,small_airport,Howell Airport,US,US-WA,Longbranch
00WI,small_airport,Northern Lite Airport,US,US-WI,Waupaca
00WN,small_airport,Hawks Run Airport,US,US-WA,Asotin
00WV,small_airport,Lazy J. Aerodrome,US,US-WV,Beverly
00XS,closed,L P Askew Farms Airport,US,US-TX,O'Donnell
01A,small_airport,Purkeypile Airport,US,US-AK,Purkeypile
01AK,heliport,Providence Seward Medical Center Heliport,US,US-AK,Seward
01AL,small_airport,Ware Island Airport,US,US-AL,Clanton
01AR,heliport,DeQueen Medical Center Heliport,US,US-AR,DeQueen
01AZ,heliport,Yat Heliport,US,US-AZ,Camp Verde
01C,closed,Grant Airport,US,US-MI,Grant
01CA,heliport,SCE Lugo Substation Heliport,US,US-CA,Hesperia
01CL,small_airport,Swansboro Country Airport,US,US-CA,Placerville
01CN,closed,Los Angeles County Sheriff's Department Heliport,US,US-CA,Los Angeles
01CO,heliport,St Vincent General Hospital Heliport,US,US-CO,Leadville
01CT,heliport,Berlin Fairgrounds Heliport,US,US-CT,Berlin
01FA,small_airport,Rybolt Ranch Airport,US,US-FL,Orlando
01FD,heliport,Advent Health Altamonte Springs Heliport,US,US-FL,Altamonte Springs
01GA,heliport,Medical Center Heliport,US,US-GA,Columbus
