airport_ident,elevation_ft,runway_length_ft,runway_width_ft,frequency_mhz,runway_lighted,runway_closed
03LA,25,60,60,,0,0
03LS,79,40,40,,1,0
03M,165,3800,200,,0,0
03MA,150,1600,60,,0,0
03MD,302,50,50,,1,0
03ME,556,2400,90,,0,0
03MI,585,20,20,,0,0
03MN,1435,1940,75,,0,0
03MO,1010,2200,50,,0,0
03MS,110,60,60,,0,0
03MU,874,2400,24,,1,0
03N,4,2400,50,,0,0
03NC,35,2750,40,,0,0
03ND,1045,2600,50,,0,0
03NE,2430,2200,200,,0,0
03NH,400,12,80,,0,0
03NV,6120,3200,30,,0,0
03NY,95,2000,75,,0,0
03OH,580,2100,60,,0,0
03OI,890,60,60,,0,0
03OK,890,1200,50,,0,0
03OL,1232,1900,30,,0,0
03OR,3340,2950,60,,0,0
03PA,197,130,80,,0,0
03PN,479,100,100,,0,0
03PR,980,2926,65,,0,0
03PS,1050,675,90,,0,0
03S,704,2115,100,,0,0
03SC,73,40,40,,1,0
03TE,600,3500,100,,0,0
03TN,1000,20,20,,0,0
03TS,1825,90,90,,0,0
03TT,117,3000,50,,0,0
03TX,50,150,150,,0,0
03UT,5315,5000,35,,0,0
03WA,2440,2800,60,,0,0
03WI,880,1500,60,,0,0
03WN,2320,2000,70,,0,0
03XA,3881,54,54,,0,0
03XS,2100,3200,50,,0,0
04AA,250,1300,100,,0,0
04AL,686,100,100,,0,0
04AR,430,40,40,,1,0
04CL,2310,1900,100,,0,0
04CT,880,50,100,,0,0
04F,1293,2400,20,,0,1
04FA,9,2620,212,,0,0
04FL,30,3000,100,,0,0
04I,920,2382,120,,1,0
04IA,801,2310,84,,0,0
04ID,2343,3000,25,,0,0
04II,765,1372,72,,0,0
04IL,755,1700,70,,0,0
04IN,954,4000,1000,,0,0
04IS,728,2200,150,,0,0
04KS,835,400,60,,0,0
04KY,710,1700,30,,0,0
04LA,10,40,40,,1,0
04LL,750,3700,70,,0,0
04LS,52,60,60,,0,0
04MA,200,2100,300,,0,0
04MD,40,50,50,,1,0
04ME,625,1950,120,,0,0
04MI,880,2000,100,,0,0
04MN,1195,2500,150,,0,0
04MO,767,2600,150,,0,0
04MT,2715,2100,100,,0,0
04NC,445,91,35,,0,0
04NE,3035,2500,100,,0,0
04NJ,155,3500,50,,1,0
04NR,40,78,36,,0,0
04NY,250,5200,50,,0,0
04OG,185,50,100,,0,0
04OH,1080,2200,70,,0,0
04OK,984,45,45,,0,0
04PA,50,100,100,,0,0
04PN,320,70,70,,0,0
04SC,994,50,50,,0,0
04SD,2437,46,46,,0,0
04TA,540,60,40,,0,0
04TE,49,30,30,,0,0
04TN,1430,3000,50,,0,0
04TS,690,20,20,,0,0
04TT,1550,4645,55,,0,0
04TX,565,2000,50,,0,0
04UT,6160,3700,50,,0,0
04V,7826,7745,55,,0,0
04VA,2004,50,50,,1,0
04VG,50,3500,80,,0,0
04VT,2156,1300,40,,0,0
04W,1021,2751,75,,1,0
04WA,2345,1800,60,,0,0
04WI,760,1800,100,,0,0
04WN,1510,4100,60,,0,0
04WV,1137,40,40,,0,0
04XS,625,80,60,,0,0
05AK,620,2000,75,,0,0
05AL,365,1600,50,,0,0
05AR,1900,2000,100,,0,0
05AZ,200,40,40,,0,0
05B,440,4000,200,,0,0
05CA,888,78,78,,0,0
05CO,4978,2650,60,,0,0
05CT,600,50,50,,0,0
05FA,295,2950,100,,0,0
05FD,6,95,95,,0,0
